State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
MT,143.0,415.0,,,,172.3,97.0,29.29,174.0,108.0,,188.2,119.0,8.47,13.0,4.0,3.51,2.0,False
MN,81.0,415.0,No,No,,198.4,93.0,33.73,210.9,108.0,17.93,,71.0,,10.4,6.0,2.81,2.0,False
,145.0,408.0,No,Yes,24.0,147.5,90.0,25.08,175.7,108.0,14.93,252.1,102.0,11.34,15.6,3.0,4.21,2.0,False
OK,89.0,510.0,No,No,,303.9,95.0,,260.9,114.0,22.18,312.1,89.0,14.04,5.3,,1.43,1.0,True
CT,,415.0,,Yes,34.0,230.6,121.0,39.2,,99.0,18.65,299.3,,13.47,8.0,2.0,2.16,0.0,False
CT,96.0,415.0,No,Yes,,172.7,93.0,29.36,120.1,116.0,10.21,216.1,,9.72,10.3,,,5.0,True
MN,94.0,415.0,No,No,0.0,181.5,98.0,,199.9,88.0,16.99,287.7,114.0,,6.6,5.0,1.78,1.0,False
FL,127.0,415.0,No,No,0.0,,106.0,45.32,264.8,168.0,22.51,207.2,119.0,9.32,5.9,,1.59,1.0,True
,121.0,408.0,No,,0.0,170.4,108.0,28.97,350.5,,,,87.0,13.37,11.2,3.0,3.02,0.0,True
IN,122.0,408.0,No,No,0.0,,99.0,50.39,214.8,89.0,18.26,133.9,,6.03,11.4,3.0,3.08,4.0,True
AL,121.0,408.0,No,Yes,35.0,68.7,95.0,11.68,209.2,69.0,17.78,197.4,42.0,8.88,11.4,4.0,3.08,1.0,False
OR,77.0,510.0,No,,0.0,233.8,,,266.5,94.0,22.65,212.7,104.0,,7.6,3.0,2.05,2.0,False
MS,64.0,,Yes,No,0.0,,77.0,,218.6,85.0,18.58,194.1,,,13.2,2.0,,,True
CA,,408.0,Yes,,,244.6,89.0,41.58,188.8,80.0,16.05,206.0,114.0,9.27,11.3,4.0,3.05,1.0,False
DE,148.0,415.0,No,No,,124.4,83.0,21.15,,81.0,15.27,,,11.39,11.3,6.0,3.05,0.0,False
MS,77.0,,No,No,0.0,230.0,87.0,39.1,103.2,,8.77,309.6,136.0,13.93,11.3,,3.05,2.0,False
,,,No,No,,201.8,,34.31,225.0,114.0,,204.4,82.0,9.2,10.3,,2.78,1.0,False
SD,87.0,415.0,,Yes,21.0,214.0,113.0,36.38,180.0,114.0,15.3,134.5,82.0,6.05,10.6,5.0,2.86,0.0,False
NH,54.0,,No,No,,210.5,,35.79,,83.0,17.38,127.8,53.0,5.75,8.5,5.0,2.3,1.0,False
,35.0,,No,No,0.0,105.6,129.0,17.95,,129.0,,,,9.59,8.7,,2.35,0.0,False
TX,84.0,,No,No,0.0,138.6,102.0,,199.0,93.0,16.92,204.1,137.0,9.18,7.8,4.0,2.11,0.0,False
OR,94.0,,No,No,0.0,234.4,103.0,39.85,279.3,109.0,23.74,234.2,121.0,,2.0,2.0,0.54,1.0,True
UT,96.0,408.0,,Yes,26.0,,108.0,24.79,192.2,,16.34,,96.0,7.43,,,2.67,,False
NV,64.0,,No,,,97.2,80.0,,,,15.83,189.0,,8.5,10.4,6.0,2.81,2.0,False
NE,,,No,No,0.0,259.8,,44.17,242.3,117.0,,168.8,72.0,7.6,,,1.46,0.0,False
,117.0,408.0,No,,,,84.0,40.78,174.8,106.0,,209.5,93.0,9.43,9.8,2.0,2.65,0.0,False
DC,112.0,,No,Yes,,221.6,110.0,,130.2,123.0,11.07,200.0,108.0,9.0,11.3,3.0,3.05,1.0,False
MA,129.0,510.0,Yes,No,0.0,192.9,131.0,,185.5,101.0,15.77,205.2,130.0,,10.9,4.0,2.94,1.0,False
AZ,140.0,408.0,No,No,0.0,173.2,91.0,,196.8,106.0,16.73,,,,11.2,5.0,3.02,,False
MI,,,No,No,,153.5,99.0,26.1,197.6,,16.8,198.5,86.0,8.93,6.3,2.0,1.7,2.0,False
TX,,510.0,,No,0.0,59.5,103.0,10.12,257.2,106.0,21.86,208.3,86.0,9.37,11.1,6.0,3.0,0.0,False
ID,79.0,510.0,,Yes,21.0,264.3,79.0,44.93,202.8,118.0,17.24,173.4,92.0,7.8,6.3,3.0,1.7,,False
AL,85.0,408.0,No,,0.0,,107.0,21.74,,124.0,,202.2,76.0,9.1,12.5,5.0,3.38,0.0,False
SD,91.0,510.0,No,No,0.0,149.0,,,245.3,105.0,,260.0,94.0,11.7,8.3,,2.24,0.0,False
LA,149.0,415.0,No,Yes,20.0,198.9,77.0,33.81,274.0,,23.29,,,,14.3,,3.86,1.0,False
AZ,,415.0,No,No,0.0,98.2,88.0,16.69,180.5,69.0,15.34,223.6,69.0,10.06,9.3,2.0,2.51,2.0,False
,,408.0,No,No,0.0,147.9,109.0,25.14,,,19.41,299.7,90.0,13.49,9.6,,2.59,3.0,False
,144.0,415.0,No,Yes,18.0,,109.0,18.09,108.1,,9.19,208.4,,,10.1,5.0,2.73,1.0,False
AZ,86.0,415.0,No,Yes,32.0,70.9,163.0,12.05,166.7,121.0,14.17,244.9,105.0,11.02,11.1,,3.0,3.0,False
MI,139.0,415.0,No,Yes,20.0,214.6,101.0,,235.1,132.0,19.98,162.8,,7.33,14.8,12.0,4.0,0.0,False
NV,124.0,408.0,No,,0.0,151.1,123.0,25.69,,104.0,,255.4,93.0,11.49,5.3,3.0,1.43,1.0,False
,,510.0,Yes,No,0.0,233.8,,39.75,221.6,131.0,18.84,146.9,106.0,,,3.0,3.46,0.0,False
IN,78.0,415.0,,,0.0,208.9,,35.51,252.4,132.0,21.45,280.2,120.0,12.61,12.8,7.0,3.46,0.0,False
AL,55.0,415.0,Yes,No,0.0,191.9,,32.62,256.1,110.0,21.77,203.7,101.0,9.17,,6.0,3.86,1.0,True
,129.0,415.0,No,Yes,33.0,119.6,104.0,20.33,278.7,88.0,23.69,263.4,175.0,11.85,,2.0,1.59,2.0,False
ME,,408.0,Yes,No,0.0,,,35.92,105.6,,,175.9,,7.92,9.7,4.0,2.62,,True
,126.0,415.0,No,Yes,23.0,114.3,,19.43,190.3,103.0,,240.4,111.0,10.82,12.6,7.0,3.4,3.0,False
,92.0,415.0,,No,0.0,154.0,,26.18,,88.0,28.03,288.0,,12.96,5.6,2.0,1.51,3.0,True
OK,,408.0,,No,0.0,214.7,,,,,13.48,123.4,114.0,5.55,9.4,4.0,2.54,2.0,False
,87.0,510.0,No,No,0.0,231.3,105.0,39.32,171.7,108.0,14.59,67.7,136.0,,,6.0,3.51,1.0,False
NJ,95.0,,No,Yes,22.0,40.9,126.0,6.95,,90.0,11.34,,91.0,11.89,,7.0,3.21,0.0,False
,67.0,510.0,No,No,,310.4,97.0,52.77,66.5,123.0,5.65,246.5,99.0,11.09,9.2,10.0,2.48,4.0,False
OR,165.0,415.0,No,No,0.0,,126.0,36.82,190.8,104.0,16.22,224.7,123.0,,12.4,8.0,3.35,0.0,False
RI,150.0,415.0,No,Yes,,209.9,77.0,35.68,158.0,52.0,,141.9,113.0,6.39,6.6,1.0,1.78,,False
NC,26.0,415.0,No,No,0.0,234.5,,39.87,216.5,129.0,18.4,191.6,94.0,8.62,3.5,,0.95,3.0,False
MD,79.0,510.0,,Yes,,103.1,90.0,,243.0,135.0,20.66,,92.0,3.44,12.2,8.0,,3.0,False
WI,,510.0,Yes,No,0.0,,90.0,,248.7,91.0,21.14,171.0,118.0,7.69,8.4,10.0,2.27,2.0,True
VT,95.0,510.0,Yes,Yes,41.0,136.8,,23.26,200.8,61.0,,133.7,67.0,6.02,10.3,9.0,2.78,5.0,True
NY,157.0,415.0,No,No,0.0,224.5,111.0,38.17,200.7,,17.06,116.6,118.0,5.25,,,,,False
VT,80.0,415.0,No,No,0.0,160.6,103.0,,,,20.15,245.1,88.0,11.03,,1.0,2.89,,False
AZ,75.0,,,Yes,37.0,121.5,97.0,20.66,271.4,110.0,23.07,248.7,97.0,11.19,11.3,5.0,3.05,2.0,False
WV,,,No,No,0.0,228.1,121.0,38.78,276.5,79.0,23.5,279.8,77.0,12.59,9.9,5.0,2.67,2.0,True
OK,101.0,408.0,No,,,89.7,118.0,15.25,260.1,79.0,22.11,170.1,93.0,7.65,13.5,11.0,3.65,5.0,True
WI,,408.0,No,,14.0,80.2,81.0,13.63,219.0,,,122.6,102.0,5.52,8.6,2.0,2.32,1.0,False
PA,82.0,408.0,No,No,,125.7,96.0,21.37,,137.0,17.65,,103.0,8.24,12.9,,3.48,,False
NY,39.0,408.0,No,,0.0,160.4,68.0,27.27,102.6,103.0,8.72,235.3,,10.59,9.1,5.0,2.46,2.0,False
NM,30.0,415.0,No,No,0.0,169.9,144.0,28.88,225.2,118.0,19.14,169.7,93.0,,11.4,,3.08,1.0,False
,,415.0,No,,29.0,142.3,107.0,24.19,118.7,56.0,10.09,240.1,91.0,10.8,6.6,8.0,1.78,1.0,False
WY,,415.0,No,No,0.0,,55.0,,261.5,83.0,22.23,,,7.34,8.7,3.0,2.35,3.0,False
PA,91.0,510.0,No,No,0.0,231.8,120.0,39.41,150.6,106.0,12.8,269.2,129.0,12.11,,7.0,3.13,3.0,False
NV,105.0,415.0,Yes,Yes,29.0,220.7,82.0,,,,18.5,,100.0,8.57,13.2,6.0,3.56,1.0,True
WA,166.0,,Yes,Yes,35.0,,138.0,21.79,274.5,113.0,,,,13.45,,7.0,2.38,2.0,False
FL,79.0,,No,No,0.0,130.2,119.0,22.13,290.9,121.0,24.73,194.8,140.0,8.77,14.0,6.0,3.78,3.0,False
ME,105.0,408.0,,Yes,33.0,209.6,,35.63,146.9,140.0,12.49,,,,10.6,3.0,2.86,2.0,False
,172.0,415.0,No,No,,215.7,140.0,36.67,146.3,,12.44,264.6,83.0,11.91,7.1,1.0,1.92,3.0,False
KS,,,No,,0.0,150.7,105.0,,,,16.77,,116.0,7.61,9.2,15.0,2.48,1.0,False
ND,,,,No,0.0,161.5,92.0,27.46,173.5,108.0,14.75,206.2,95.0,9.28,7.9,,2.13,2.0,False
WV,153.0,,No,Yes,28.0,,74.0,40.05,227.9,,19.37,170.3,103.0,7.66,15.4,,4.16,0.0,False
,54.0,415.0,No,Yes,,206.9,143.0,35.17,127.8,72.0,10.86,199.2,120.0,8.96,9.2,1.0,2.48,,False
CA,79.0,510.0,No,,,157.6,85.0,26.79,194.1,,16.5,231.5,,10.42,9.4,,2.54,5.0,True
MN,,415.0,No,No,0.0,,147.0,29.85,,,,289.5,55.0,13.03,,4.0,,0.0,False
MT,109.0,408.0,No,No,0.0,264.7,,,305.0,,25.93,197.4,86.0,,9.5,9.0,2.57,1.0,True
SD,,408.0,,Yes,31.0,282.3,,47.99,,89.0,12.92,225.5,93.0,,12.0,4.0,3.24,,False
MT,27.0,510.0,No,No,0.0,,102.0,32.95,118.9,104.0,10.11,135.9,124.0,6.12,,3.0,2.48,0.0,False
WV,32.0,,No,Yes,26.0,,109.0,45.34,232.3,,19.75,212.8,98.0,,,4.0,,1.0,False
CT,3.0,,No,Yes,36.0,118.1,,20.08,221.5,125.0,18.83,103.9,89.0,4.68,,6.0,3.21,2.0,False
DE,119.0,415.0,No,No,0.0,176.8,90.0,30.06,224.7,81.0,19.1,204.6,77.0,9.21,7.5,15.0,2.03,1.0,False
LA,43.0,415.0,No,No,0.0,241.9,101.0,41.12,129.4,121.0,,264.8,104.0,,5.9,3.0,1.59,1.0,False
KS,116.0,510.0,No,No,0.0,189.5,90.0,32.22,,118.0,,,,,13.1,2.0,3.54,1.0,False
WV,107.0,415.0,No,No,0.0,123.1,,20.93,158.4,82.0,13.46,256.1,82.0,11.52,9.3,5.0,,0.0,False
,123.0,408.0,,No,0.0,159.1,94.0,27.05,241.6,119.0,20.54,202.4,120.0,9.11,6.5,1.0,1.76,,False
AK,110.0,408.0,No,No,0.0,100.1,90.0,17.02,,93.0,19.83,204.4,57.0,9.2,11.1,,3.0,3.0,False
,176.0,415.0,,No,0.0,,76.0,37.94,214.4,131.0,,154.4,80.0,6.95,10.1,,2.73,3.0,False
MN,13.0,510.0,No,Yes,21.0,,105.0,53.65,208.9,71.0,17.76,,123.0,,12.1,3.0,3.27,3.0,False
,88.0,,,,0.0,189.8,,32.27,197.3,101.0,16.77,,,10.55,,3.0,4.02,2.0,False
,,,No,Yes,29.0,155.4,110.0,26.42,188.5,104.0,16.02,254.9,118.0,11.47,8.0,4.0,2.16,3.0,False
WI,165.0,510.0,No,No,0.0,154.2,91.0,26.21,268.6,108.0,22.83,,99.0,8.5,,4.0,2.94,6.0,False
AR,,415.0,No,No,0.0,178.8,94.0,,178.4,97.0,15.16,169.2,77.0,7.61,7.5,3.0,2.03,,False
,,,No,No,,149.3,104.0,25.38,273.6,75.0,,206.6,72.0,9.3,9.1,4.0,,0.0,False
ID,83.0,415.0,,Yes,32.0,94.7,111.0,16.1,154.4,98.0,13.12,,109.0,9.02,10.6,6.0,2.86,2.0,False
VA,158.0,,,No,0.0,222.8,101.0,37.88,203.0,128.0,,210.6,106.0,9.48,6.9,,1.86,,False
WV,115.0,510.0,,No,0.0,,95.0,42.48,242.5,104.0,20.61,151.7,,,,6.0,,1.0,True
,103.0,,,,36.0,,92.0,14.82,169.3,110.0,14.39,166.7,80.0,7.5,10.9,5.0,2.94,6.0,True
NJ,64.0,415.0,No,No,0.0,224.8,111.0,38.22,,101.0,,,110.0,9.96,9.2,2.0,2.48,1.0,False
,86.0,510.0,No,Yes,39.0,261.2,122.0,44.4,,101.0,18.21,,101.0,6.97,12.7,5.0,,2.0,False
,151.0,,No,Yes,26.0,196.5,98.0,33.41,175.8,111.0,,221.8,124.0,9.98,13.4,5.0,3.62,0.0,False
NM,87.0,,Yes,No,0.0,167.3,119.0,28.44,198.5,119.0,16.87,133.1,88.0,5.99,11.0,6.0,2.97,1.0,False
TX,90.0,415.0,No,No,,109.6,88.0,18.63,137.6,108.0,11.7,,121.0,7.19,11.0,5.0,,2.0,False
LA,108.0,510.0,,Yes,,276.6,,,220.1,113.0,,177.9,95.0,8.01,9.8,6.0,2.65,2.0,False
TN,33.0,415.0,,,35.0,186.8,124.0,31.76,261.0,69.0,22.19,317.8,103.0,14.3,15.0,,4.05,0.0,False
WI,149.0,415.0,Yes,Yes,28.0,126.9,97.0,21.57,166.9,102.0,14.19,145.2,77.0,6.53,8.8,3.0,2.38,5.0,True
MT,106.0,510.0,,No,0.0,169.4,,,197.2,,16.76,202.2,,9.1,,4.0,,1.0,False
ND,167.0,408.0,Yes,No,0.0,219.1,100.0,37.25,242.9,,20.65,,101.0,7.6,10.1,,2.73,2.0,False
WI,35.0,510.0,No,Yes,27.0,241.7,87.0,41.09,,101.0,12.07,288.9,68.0,13.0,9.4,4.0,2.54,1.0,False
MO,107.0,,No,,22.0,281.1,83.0,,,130.0,12.21,239.4,,10.77,11.2,9.0,3.02,1.0,False
AZ,92.0,415.0,Yes,Yes,45.0,281.1,88.0,,,103.0,,94.3,,4.24,7.5,3.0,,0.0,False
VT,,,,No,0.0,137.8,,23.43,286.3,76.0,24.34,167.0,77.0,7.52,14.1,3.0,3.81,2.0,False
,,408.0,Yes,No,0.0,148.5,,25.25,219.4,125.0,18.65,,,8.93,14.5,7.0,3.92,,True
NE,123.0,510.0,No,,,,,32.98,242.0,114.0,,146.3,108.0,6.58,,4.0,,1.0,False
,,510.0,,Yes,41.0,130.9,115.0,22.25,,,,171.7,,,12.4,4.0,3.35,,False
NM,153.0,,No,No,0.0,185.3,127.0,31.5,208.0,73.0,17.68,206.1,124.0,9.27,15.1,3.0,,,False
FL,143.0,,,No,,119.1,117.0,20.25,287.7,136.0,,223.0,,10.04,12.2,4.0,3.29,0.0,False
SC,87.0,408.0,,No,0.0,,106.0,54.83,,93.0,17.39,186.2,128.0,8.38,9.4,4.0,2.54,2.0,True
IN,100.0,,No,No,0.0,216.2,107.0,,215.6,84.0,18.33,,127.0,6.23,10.2,3.0,2.75,0.0,False
FL,144.0,415.0,No,Yes,51.0,283.9,,48.26,192.0,109.0,16.32,,85.0,,10.0,4.0,2.7,1.0,False
ND,70.0,415.0,,Yes,31.0,125.9,101.0,21.4,,102.0,,252.7,75.0,,10.3,4.0,2.78,1.0,False
MA,136.0,408.0,Yes,No,0.0,199.6,89.0,33.93,211.4,96.0,17.97,,84.0,3.26,11.0,,2.97,3.0,True
MO,120.0,415.0,No,Yes,24.0,212.7,,36.16,257.5,103.0,21.89,227.8,,10.25,9.7,13.0,2.62,2.0,False
WY,104.0,408.0,No,No,0.0,183.6,133.0,31.21,,98.0,10.26,215.1,112.0,9.68,,2.0,,1.0,False
CA,75.0,510.0,No,Yes,38.0,163.6,132.0,27.81,146.7,,12.47,345.8,115.0,15.56,13.1,,3.54,3.0,False
NE,127.0,510.0,Yes,No,0.0,180.9,114.0,,209.5,118.0,17.81,249.9,105.0,,7.4,4.0,2.0,2.0,False
ID,122.0,,No,Yes,33.0,,96.0,46.04,,110.0,18.73,169.9,104.0,7.65,11.8,8.0,,4.0,False
VT,124.0,415.0,No,,0.0,,72.0,30.33,233.6,134.0,19.86,,91.0,8.07,12.0,2.0,3.24,0.0,False
MO,167.0,,Yes,No,0.0,244.8,91.0,41.62,60.8,105.0,5.17,,110.0,7.95,10.7,3.0,2.89,2.0,False
VA,89.0,415.0,No,Yes,32.0,209.9,113.0,35.68,249.8,104.0,,224.2,92.0,10.09,8.7,,2.35,1.0,False
VT,,408.0,No,No,0.0,,95.0,,188.8,104.0,16.05,136.2,89.0,6.13,13.5,3.0,,,False
MS,1.0,415.0,No,No,0.0,144.8,107.0,24.62,112.5,66.0,9.56,218.7,79.0,9.84,13.8,3.0,3.73,1.0,False
KY,60.0,,No,No,,135.4,,,205.9,85.0,17.5,204.0,,9.18,7.9,4.0,2.13,,False
WV,77.0,510.0,No,No,,67.7,68.0,11.51,195.7,,16.63,,137.0,10.64,12.0,2.0,,1.0,False
DC,,415.0,No,No,0.0,224.4,121.0,38.15,,97.0,12.57,183.8,74.0,8.27,,2.0,,2.0,False
IA,63.0,510.0,No,No,,153.5,81.0,,287.3,,24.42,,,,6.5,5.0,1.76,2.0,False
MN,150.0,,No,Yes,28.0,174.4,75.0,29.65,169.9,80.0,14.44,201.6,130.0,9.07,11.0,4.0,,1.0,False
VT,101.0,415.0,,No,0.0,153.8,89.0,26.15,234.0,89.0,19.89,196.3,77.0,8.83,,,3.13,,False
,132.0,415.0,No,Yes,39.0,175.7,93.0,29.87,187.2,94.0,15.91,225.5,118.0,10.15,,3.0,2.32,,False
CA,,510.0,No,No,0.0,155.9,123.0,26.5,224.2,112.0,19.06,221.0,,9.95,8.6,8.0,,2.0,False
MS,114.0,415.0,No,Yes,34.0,,109.0,,221.4,142.0,,208.5,103.0,,10.3,5.0,2.78,0.0,False
,77.0,,No,,,209.7,73.0,,183.6,,15.61,205.5,111.0,9.25,7.1,,1.92,,False
NJ,107.0,415.0,No,No,0.0,212.1,95.0,36.06,,88.0,12.76,,111.0,9.89,7.7,2.0,2.08,3.0,False
NJ,48.0,510.0,No,Yes,22.0,152.0,63.0,25.84,258.8,,22.0,263.2,109.0,,15.7,5.0,4.24,,True
TN,59.0,415.0,,No,,160.9,,,251.2,,,,97.0,12.3,5.0,5.0,1.35,3.0,False
,129.0,510.0,No,No,0.0,334.3,118.0,,192.1,104.0,16.33,191.0,,8.59,10.4,,,0.0,True
TX,,,No,,0.0,,94.0,32.11,203.9,104.0,17.33,151.8,,6.83,11.6,,3.13,3.0,False
MI,50.0,415.0,No,,,192.6,97.0,32.74,135.2,101.0,11.49,216.2,101.0,9.73,7.9,2.0,2.13,2.0,False
MS,116.0,415.0,No,No,0.0,217.3,91.0,36.94,216.1,95.0,18.37,148.1,76.0,6.66,11.3,,3.05,2.0,False
OK,52.0,510.0,No,Yes,38.0,169.3,,28.78,225.9,97.0,,172.0,86.0,,8.2,3.0,2.21,0.0,False
ND,12.0,510.0,Yes,No,0.0,,,,,126.0,9.9,,,,,4.0,2.65,,False
ND,105.0,510.0,,,0.0,246.4,83.0,41.89,256.2,101.0,21.78,169.0,151.0,,3.8,4.0,,0.0,False
NY,,415.0,No,,,,93.0,26.55,,54.0,16.41,222.7,94.0,10.02,13.1,5.0,3.54,1.0,False
WV,13.0,415.0,No,,0.0,,74.0,24.89,148.5,92.0,12.62,,96.0,9.75,11.3,3.0,3.05,1.0,False
WV,67.0,,,No,0.0,167.8,91.0,,167.7,69.0,,110.3,71.0,,,12.0,2.27,1.0,False
DC,148.0,415.0,No,Yes,11.0,252.9,129.0,,284.3,88.0,24.17,262.8,,,,1.0,3.32,,False
MN,116.0,510.0,No,,0.0,201.8,82.0,34.31,231.5,,19.68,,130.0,10.17,16.5,5.0,4.46,0.0,False
DE,131.0,408.0,No,,0.0,,80.0,16.05,215.1,101.0,18.28,179.7,108.0,,13.1,,3.54,,False
